status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,risk_multiplier,regime
COMPLETED,CALL,CE,22400,2025-04-17,2025-04-08T10:20:00,2025-04-08T10:35:00,122.49,84.8,85.74,202.11,SL_HIT,-2449.87,59.33,-2509.2,65,1,22411.35,0.5315,0.1587,15.87,2025-04-16,1.1,0,EMA_PULLBACK,0.85,BULL_PULLBACK
COMPLETED,CALL,CE,22550,2025-04-17,2025-04-08T12:20:00,2025-04-08T12:30:00,65.18,105.93,45.62,107.54,TARGET_HIT,2648.92,58.6,2590.32,65,1,22550.65,0.5106,0.1547,15.47,2025-04-17,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,22900,2025-04-24,2025-04-11T11:30:00,2025-04-11T14:00:00,142.28,99.1,99.6,234.76,SL_HIT,-2806.86,61.33,-2868.2,65,1,22869.5,0.4881,0.1552,15.52,2025-04-21,0.5,1,EMA_PULLBACK,1.0,STRONG_BULL
COMPLETED,CALL,CE,22950,2025-04-24,2025-04-11T11:35:00,2025-04-11T13:30:00,127.35,95.03,95.51,197.39,SL_HIT,-2100.48,60.37,-2160.84,65,1,22888.0,0.4544,0.1553,15.52,2025-04-21,0.5,1,MOMENTUM_BREAKOUT,1.0,STRONG_BULL
COMPLETED,CALL,CE,24050,2025-04-24,2025-04-21T10:25:00,2025-04-21T11:35:00,90.24,107.12,63.17,148.9,SL_HIT,1096.81,59.77,1037.05,65,1,24045.65,0.5031,0.1625,16.25,2025-04-24,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,23450,2025-05-01,2025-04-17T11:10:00,2025-04-17T12:30:00,236.23,388.61,170.08,389.78,TARGET_HIT,9904.66,88.9,9815.76,65,1,23440.1,0.519,0.1716,17.16,2025-04-25,0.5,0,VWAP_RECLAIM,0.85,BULL_PULLBACK
COMPLETED,CALL,CE,24250,2025-05-08,2025-04-28T09:35:00,2025-04-28T14:35:00,192.42,191.74,144.32,298.25,SL_HIT,-44.04,71.01,-115.05,65,1,24221.65,0.4966,0.1834,18.34,2025-05-05,0.55,1,MOMENTUM_BREAKOUT,1.0,STRONG_BULL
COMPLETED,CALL,CE,24250,2025-05-08,2025-04-28T09:35:00,2025-04-28T14:35:00,192.42,191.74,134.69,317.49,SL_HIT,-44.04,71.01,-115.05,65,1,24221.65,0.4966,0.1834,18.34,2025-05-05,0.55,1,EMA_PULLBACK,1.0,STRONG_BULL
COMPLETED,CALL,CE,24750,2025-05-15,2025-05-14T10:05:00,2025-05-14T10:50:00,98.76,68.09,69.13,162.95,SL_HIT,-1993.17,56.95,-2050.12,65,1,24743.5,0.5004,0.1689,16.89,2025-05-15,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24750,2025-05-22,2025-05-14T10:05:00,2025-05-14T12:35:00,247.47,172.36,173.23,408.32,SL_HIT,-4881.92,71.78,-4953.7,65,1,24743.5,0.5226,0.1655,16.55,2025-05-16,0.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24750,2025-05-22,2025-05-14T10:10:00,2025-05-14T11:40:00,201.37,150.27,151.03,312.12,SL_HIT,-3321.35,68.02,-3389.37,65,1,24758.15,0.527,0.1736,17.36,2025-05-19,0.5,0,MOMENTUM_BREAKOUT,1.0,BULL_BREAKOUT
COMPLETED,PUT,PE,24600,2025-05-29,2025-05-22T10:00:00,2025-05-22T15:15:00,222.93,192.74,156.05,367.84,FORCE_EXIT,-1962.78,72.39,-2035.17,65,1,24609.05,-0.4677,0.1728,17.28,2025-05-23,0.5,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,CALL,CE,24900,2025-05-29,2025-05-23T11:25:00,2025-05-23T14:40:00,166.08,115.23,116.26,274.04,SL_HIT,-3305.18,63.66,-3368.85,65,1,24882.0,0.4989,0.1854,18.54,2025-05-27,0.88,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,PUT,PE,24600,2025-06-05,2025-06-02T10:00:00,2025-06-02T11:15:00,128.68,89.09,90.08,212.33,SL_HIT,-2573.72,59.94,-2633.66,65,1,24580.9,-0.5092,0.1575,15.75,2025-06-04,1.1,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,CALL,CE,24900,2025-06-12,2025-06-06T10:30:00,2025-06-06T11:55:00,147.85,228.02,110.88,229.16,TARGET_HIT,5211.03,72.06,5138.97,65,1,24860.55,0.4823,0.1469,14.69,2025-06-09,0.5,1,MOMENTUM_BREAKOUT,1.0,STRONG_BULL
COMPLETED,CALL,CE,24850,2025-06-12,2025-06-06T10:30:00,2025-06-06T11:40:00,144.35,221.96,108.26,223.75,TARGET_HIT,5044.24,71.42,4972.82,65,1,24860.55,0.5328,0.1402,14.02,2025-06-10,0.8,0,MOMENTUM_BREAKOUT,1.0,BULL_BREAKOUT
COMPLETED,CALL,CE,24850,2025-06-12,2025-06-06T10:30:00,2025-06-06T11:40:00,116.6,190.27,81.62,192.39,TARGET_HIT,4788.7,67.66,4721.05,65,1,24860.55,0.5328,0.1367,13.67,2025-06-11,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24850,2025-06-12,2025-06-06T10:30:00,2025-06-06T11:00:00,87.7,142.54,61.39,144.71,TARGET_HIT,3564.43,62.54,3501.9,65,1,24860.55,0.5334,0.1402,14.02,2025-06-12,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,PUT,PE,24600,2025-06-19,2025-06-13T10:00:00,2025-06-13T12:00:00,139.62,97.25,97.74,230.38,SL_HIT,-2754.43,61.07,-2815.5,65,1,24623.2,-0.4546,0.1484,14.84,2025-06-16,0.5,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,PUT,PE,24850,2025-06-19,2025-06-18T10:30:00,2025-06-18T11:35:00,76.13,94.84,57.1,125.61,SL_HIT,1216.21,58.16,1158.04,65,1,24854.35,-0.4795,0.1426,14.26,2025-06-19,1.5,0,VWAP_RECLAIM,0.85,SKIP_RANGING
