status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,tier,risk_multiplier,regime,quality_score
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:35:00,2025-10-06T11:15:00,93.73,113.35,67.48,149.96,SL_HIT,1275.27,60.42,1214.85,65,1,24926.85,0.4889,0.1005,10.05,2025-10-07,0.8,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:55:00,2025-10-06T13:30:00,106.19,168.54,76.46,169.9,TARGET_HIT,4053.06,65.44,3987.61,65,1,24953.6,0.5326,0.1005,10.05,2025-10-07,0.8,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:35:00,2025-10-06T10:50:00,77.92,87.28,56.11,124.68,SL_HIT,608.42,57.63,550.79,65,1,24926.85,0.4778,0.1031,10.31,2025-10-08,1.1,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:55:00,2025-10-06T13:30:00,89.97,142.37,64.78,143.95,TARGET_HIT,3405.91,62.62,3343.28,65,1,24953.6,0.5287,0.1031,10.31,2025-10-08,1.1,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,25250,2025-10-23,2025-10-15T10:10:00,2025-10-15T14:00:00,117.23,141.7,84.41,187.57,SL_HIT,1590.57,63.73,1526.84,65,1,25251.25,0.5258,0.113,11.3,2025-10-21,0.8,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,25450,2025-10-23,2025-10-16T10:00:00,2025-10-16T14:30:00,115.06,182.63,82.85,184.1,TARGET_HIT,4391.72,66.97,4324.75,65,1,25443.95,0.5153,0.113,11.3,2025-10-21,0.8,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,26100,2025-10-30,2025-10-23T10:35:00,2025-10-23T13:05:00,115.01,82.14,82.81,184.01,SL_HIT,-2136.21,58.79,-2195.0,65,1,26080.55,0.4959,0.1195,11.95,2025-10-28,0.8,0,EMA_PULLBACK,1,0.85,BULL_PULLBACK,4
COMPLETED,CALL,CE,26050,2025-10-30,2025-10-28T09:30:00,2025-10-28T09:50:00,118.98,84.98,85.67,190.37,SL_HIT,-2210.06,59.19,-2269.25,65,1,26028.8,0.4954,0.1195,11.95,2025-10-28,0.8,0,RELAXED_ORB,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,26100,2025-10-30,2025-10-23T10:35:00,2025-10-23T11:30:00,92.41,65.8,66.53,147.85,SL_HIT,-1729.35,56.5,-1785.85,65,1,26080.55,0.4863,0.1197,11.97,2025-10-29,1.1,0,EMA_PULLBACK,2,0.85,BULL_PULLBACK,3
COMPLETED,CALL,CE,26000,2025-10-30,2025-10-29T10:20:00,2025-10-29T10:50:00,109.71,108.72,78.99,175.54,SL_HIT,-64.34,60.73,-125.06,65,1,26012.0,0.5384,0.1197,11.97,2025-10-29,1.1,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,26050,2025-10-30,2025-10-29T10:25:00,2025-10-29T14:05:00,99.14,70.6,71.38,158.63,SL_HIT,-1855.46,57.17,-1912.63,65,1,26042.5,0.5064,0.1197,11.97,2025-10-29,1.1,0,RELAXED_ORB,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,26000,2025-10-30,2025-10-29T10:20:00,2025-10-29T10:45:00,82.04,91.13,59.07,131.26,SL_HIT,590.79,58.11,532.68,65,1,26012.0,0.5402,0.1207,12.07,2025-10-30,1.5,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,26050,2025-10-30,2025-10-29T10:55:00,2025-10-29T11:15:00,66.82,47.15,48.11,106.91,SL_HIT,-1278.7,53.89,-1332.58,65,1,26041.4,0.4927,0.1207,12.07,2025-10-30,1.5,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,PUT,PE,25900,2025-11-06,2025-10-30T10:40:00,2025-10-30T11:20:00,107.26,76.61,77.23,171.62,SL_HIT,-1992.33,58.01,-2050.34,65,1,25917.8,-0.4554,0.1265,12.65,2025-11-04,0.8,0,EMA_PULLBACK,1,0.85,BEAR_PULLBACK,4
COMPLETED,PUT,PE,25900,2025-11-06,2025-10-30T10:40:00,2025-10-30T11:05:00,61.06,43.08,43.96,97.7,SL_HIT,-1168.45,53.31,-1221.76,65,1,25917.8,-0.4473,0.1241,12.41,2025-11-06,1.5,0,EMA_PULLBACK,1,0.85,BEAR_PULLBACK,4
COMPLETED,PUT,PE,25350,2025-11-13,2025-11-07T09:55:00,2025-11-07T11:10:00,118.27,84.47,85.15,189.22,SL_HIT,-2196.71,59.12,-2255.83,65,1,25342.25,-0.4879,0.1249,12.49,2025-11-11,0.8,0,EMA_PULLBACK,1,1.0,BEAR_PULLBACK,4
COMPLETED,CALL,CE,25600,2025-11-13,2025-11-10T09:45:00,2025-11-10T10:40:00,69.59,68.68,50.11,111.35,SL_HIT,-58.94,55.76,-114.7,65,1,25580.65,0.4733,0.1216,12.16,2025-11-13,1.5,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,25600,2025-11-13,2025-11-10T09:50:00,2025-11-10T10:00:00,75.03,53.21,54.02,120.05,SL_HIT,-1418.23,54.73,-1472.96,65,1,25592.9,0.4991,0.1216,12.16,2025-11-13,1.5,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,26100,2025-12-04,2025-11-26T10:35:00,2025-11-26T13:25:00,111.95,133.82,80.6,179.12,SL_HIT,1421.62,62.86,1358.76,65,1,26088.5,0.507,0.1123,11.23,2025-12-02,0.8,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
