status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,risk_multiplier,regime
COMPLETED,PUT,PE,25250,2025-07-17,2025-07-11T10:10:00,2025-07-11T11:10:00,100.17,128.02,70.12,165.29,SL_HIT,1810.02,61.89,1748.13,65,1,25256.75,-0.4666,0.1148,11.48,2025-07-15,0.8,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,PUT,PE,25250,2025-07-17,2025-07-11T10:10:00,2025-07-11T11:05:00,81.85,133.57,57.3,135.06,TARGET_HIT,3361.77,61.56,3300.21,65,1,25256.75,-0.4681,0.1124,11.24,2025-07-16,1.1,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,CALL,CE,25200,2025-07-17,2025-07-16T12:30:00,2025-07-16T13:30:00,53.59,39.39,40.2,88.43,SL_HIT,-923.17,52.69,-975.86,65,1,25203.7,0.523,0.1124,11.24,2025-07-17,1.5,0,VWAP_RECLAIM,0.85,SKIP_RANGING
COMPLETED,PUT,PE,24900,2025-07-31,2025-07-25T10:05:00,2025-07-25T10:40:00,78.36,90.7,54.85,129.3,SL_HIT,801.62,57.92,743.7,65,1,24911.9,-0.4585,0.1121,11.21,2025-07-30,1.1,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,CALL,CE,24800,2025-08-07,2025-07-31T12:10:00,2025-07-31T13:25:00,119.68,152.32,89.76,197.47,SL_HIT,2122.16,64.7,2057.46,65,1,24819.35,0.5516,0.1171,11.71,2025-08-05,0.8,0,VWAP_RECLAIM,0.6,SKIP_RANGING
COMPLETED,CALL,CE,24450,2025-08-14,2025-08-11T11:20:00,2025-08-11T11:35:00,76.09,56.21,57.07,125.55,SL_HIT,-1292.12,55.02,-1347.14,65,1,24470.15,0.5635,0.1236,12.36,2025-08-14,1.5,0,VWAP_RECLAIM,0.85,SKIP_RANGING
COMPLETED,CALL,CE,25000,2025-09-11,2025-09-10T10:00:00,2025-09-10T11:20:00,93.12,66.31,67.05,147.13,SL_HIT,-1742.78,56.57,-1799.35,65,1,25006.45,0.5335,0.1054,10.54,2025-09-10,1.1,0,RELAXED_ORB,1.0,BULL_BREAKOUT
COMPLETED,CALL,CE,24850,2025-09-11,2025-09-08T10:00:00,2025-09-08T10:15:00,52.76,36.19,36.93,87.05,SL_HIT,-1076.83,52.4,-1129.23,65,1,24826.1,0.4534,0.1036,10.36,2025-09-11,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25350,2025-09-18,2025-09-17T10:20:00,2025-09-17T13:40:00,75.23,52.08,52.66,124.13,SL_HIT,-1504.68,54.65,-1559.33,65,1,25326.6,0.4753,0.1025,10.25,2025-09-17,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25350,2025-09-25,2025-09-17T10:20:00,2025-09-17T14:25:00,114.15,79.51,79.91,188.35,SL_HIT,-2251.95,58.54,-2310.49,65,1,25326.6,0.4967,0.1056,10.56,2025-09-22,0.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25250,2025-10-23,2025-10-15T10:10:00,2025-10-15T14:00:00,117.23,141.7,82.06,193.43,SL_HIT,1590.57,63.73,1526.84,65,1,25251.25,0.5258,0.113,11.3,2025-10-21,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,26050,2025-10-23,2025-10-23T10:00:00,2025-10-23T11:05:00,89.81,63.7,64.67,141.91,SL_HIT,-1697.67,56.21,-1753.88,65,1,26074.85,0.569,0.1173,11.73,2025-10-23,1.5,0,RELAXED_ORB,1.0,BULL_BREAKOUT
COMPLETED,PUT,PE,25900,2025-11-06,2025-10-30T10:40:00,2025-10-30T11:10:00,61.06,41.89,42.74,100.75,SL_HIT,-1246.24,53.21,-1299.45,65,1,25917.8,-0.4473,0.1241,12.41,2025-11-06,1.5,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,CALL,CE,25600,2025-11-13,2025-11-10T10:15:00,2025-11-10T13:40:00,77.03,53.11,53.92,127.11,SL_HIT,-1554.73,54.81,-1609.54,65,1,25602.7,0.5197,0.1216,12.16,2025-11-13,1.5,0,EMA_PULLBACK,0.85,BULL_PULLBACK
COMPLETED,CALL,CE,26100,2025-12-04,2025-11-26T10:35:00,2025-11-26T13:25:00,111.95,133.82,78.36,184.72,SL_HIT,1421.62,62.86,1358.76,65,1,26088.5,0.507,0.1123,11.23,2025-12-02,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25950,2025-12-25,2025-12-19T10:15:00,2025-12-19T15:15:00,98.75,86.83,69.12,162.93,FORCE_EXIT,-774.51,58.48,-832.98,65,1,25946.7,0.5222,0.0938,9.38,2025-12-23,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,26250,2026-01-08,2026-01-02T10:10:00,2026-01-02T15:15:00,110.86,126.86,77.6,182.92,FORCE_EXIT,1040.01,62.25,977.76,65,1,26254.65,0.5339,0.1002,10.02,2026-01-06,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,PUT,PE,25100,2026-01-22,2026-01-21T10:20:00,2026-01-21T10:50:00,101.13,158.02,72.81,159.78,TARGET_HIT,3698.29,64.37,3633.92,65,1,25105.85,-0.4745,0.1378,13.78,2026-01-21,1.1,0,RELAXED_ORB,1.0,STRONG_BEAR
