trade_date,strategy,regime,direction,option_type,strike,entry_price,exit_price,sl_price,target_price,exit_reason,net_pnl,lots,vix
2025-06-13,GAP_FADE,MEAN_REVERT,CALL,CE,24450,230.88,343.9,185.17,344.94,TARGET_HIT,33684.25,4,15.079999923706055
2025-06-24,GAP_FADE,MEAN_REVERT,PUT,PE,25200,124.48,184.48,99.83,185.97,TARGET_HIT,17859.99,4,13.640000343322754
2025-06-26,INSIDE_BAR_BREAK,MEAN_REVERT,CALL,CE,25250,69.33,57.23,58.1,100.94,SL_HIT,-3713.18,4,12.59000015258789
2025-07-08,TREND_CONTINUATION,MILD_TREND,CALL,CE,25450,104.19,139.0,81.27,169.83,EOD_PROFIT,10323.09,4,12.199999809265137
2025-08-06,INSIDE_BAR_BREAK,MEAN_REVERT,PUT,PE,24650,82.86,119.32,69.44,120.64,TARGET_HIT,10828.82,4,11.960000038146973
2025-08-07,RANGE_BOUNCE,MEAN_REVERT,CALL,CE,24450,60.85,50.23,50.99,88.6,SL_HIT,-3264.76,4,11.6899995803833
2025-08-11,RANGE_BOUNCE,MEAN_REVERT,CALL,CE,24350,141.94,205.63,118.95,206.67,TARGET_HIT,18955.34,4,12.220000267028809
2025-09-04,GAP_FADE,MEAN_REVERT,PUT,PE,25000,57.48,45.17,46.1,85.87,SL_HIT,-3766.16,4,10.850000381469727
2025-09-16,INSIDE_BAR_BREAK,MEAN_REVERT,CALL,CE,25050,109.63,158.34,91.87,159.61,TARGET_HIT,14485.41,4,10.270000457763672
2025-10-27,TREND_CONTINUATION,MILD_TREND,CALL,CE,25850,130.99,212.44,102.17,213.51,TARGET_HIT,24283.59,4,11.859999656677246
2025-11-26,VWAP_CROSS,MEAN_REVERT,CALL,CE,25850,86.97,70.53,71.32,132.42,SL_HIT,-5022.73,4,11.970000267028809
2025-12-01,GAP_FADE,MEAN_REVERT,PUT,PE,26350,128.66,191.25,103.18,192.21,TARGET_HIT,18634.11,4,11.630000114440918
2025-12-15,GAP_FADE,MEAN_REVERT,CALL,CE,25950,107.71,85.96,86.39,160.93,SL_HIT,-6628.52,4,10.25
2026-01-23,TREND_CONTINUATION,MILD_TREND,PUT,PE,25350,185.43,301.35,144.64,302.25,TARGET_HIT,34577.55,4,14.1899995803833
2026-01-30,GAP_FADE,MEAN_REVERT,CALL,CE,25250,204.2,227.54,163.77,305.08,EOD_PROFIT,6829.87,4,13.630000114440918
