status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,risk_multiplier,regime
COMPLETED,CALL,CE,24050,2025-04-24,2025-04-21T10:40:00,2025-04-21T13:15:00,99.55,131.99,69.69,164.26,SL_HIT,2108.39,62.19,2046.2,65,1,24067.65,0.5431,0.1625,16.25,2025-04-24,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24750,2025-05-15,2025-05-14T09:40:00,2025-05-14T10:50:00,102.36,70.58,71.65,168.9,SL_HIT,-2065.94,57.31,-2123.25,65,1,24742.8,0.5001,0.1689,16.89,2025-05-15,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24750,2025-05-15,2025-05-14T09:55:00,2025-05-14T10:55:00,92.4,63.71,64.68,152.46,SL_HIT,-1864.82,56.33,-1921.15,65,1,24727.4,0.4749,0.1689,16.89,2025-05-15,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24850,2025-06-12,2025-06-06T10:30:00,2025-06-06T11:40:00,116.6,190.27,81.62,192.39,TARGET_HIT,4788.7,67.66,4721.05,65,1,24860.55,0.5328,0.1367,13.67,2025-06-11,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24850,2025-06-12,2025-06-06T10:30:00,2025-06-06T11:00:00,87.7,142.54,61.39,144.71,TARGET_HIT,3564.43,62.54,3501.9,65,1,24860.55,0.5334,0.1402,14.02,2025-06-12,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,PUT,PE,24850,2025-06-19,2025-06-18T10:30:00,2025-06-18T11:35:00,76.13,94.84,57.1,125.61,SL_HIT,1216.21,58.16,1158.04,65,1,24854.35,-0.4795,0.1426,14.26,2025-06-19,1.5,0,VWAP_RECLAIM,0.85,SKIP_RANGING
COMPLETED,CALL,CE,24900,2025-06-26,2025-06-20T10:00:00,2025-06-20T10:15:00,66.32,107.79,46.43,109.43,TARGET_HIT,2695.47,58.8,2636.67,65,1,24876.6,0.4633,0.1259,12.59,2025-06-26,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,PUT,PE,25250,2025-07-17,2025-07-11T10:10:00,2025-07-11T11:10:00,119.19,143.0,83.43,196.67,SL_HIT,1547.38,63.92,1483.46,65,1,25256.75,-0.4657,0.1198,11.98,2025-07-14,0.5,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,PUT,PE,25250,2025-07-17,2025-07-11T10:10:00,2025-07-11T11:10:00,100.17,128.02,70.12,165.29,SL_HIT,1810.02,61.89,1748.13,65,1,25256.75,-0.4666,0.1148,11.48,2025-07-15,0.8,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,PUT,PE,25250,2025-07-17,2025-07-11T10:10:00,2025-07-11T11:05:00,81.85,133.57,57.3,135.06,TARGET_HIT,3361.77,61.56,3300.21,65,1,25256.75,-0.4681,0.1124,11.24,2025-07-16,1.1,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,PUT,PE,25250,2025-07-17,2025-07-11T10:10:00,2025-07-11T10:55:00,60.82,98.84,42.57,100.35,TARGET_HIT,2471.64,57.84,2413.8,65,1,25256.75,-0.469,0.1124,11.24,2025-07-17,1.5,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,PUT,PE,24900,2025-07-31,2025-07-25T10:05:00,2025-07-25T11:30:00,116.22,115.87,81.35,191.76,SL_HIT,-22.74,61.59,-84.32,65,1,24911.9,-0.4595,0.1206,12.06,2025-07-28,0.5,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,PUT,PE,24850,2025-07-31,2025-07-25T10:50:00,2025-07-25T15:15:00,113.51,107.86,79.46,187.29,FORCE_EXIT,-367.27,60.82,-428.09,65,1,24862.3,-0.4592,0.1206,12.06,2025-07-28,0.5,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,PUT,PE,24900,2025-07-31,2025-07-25T10:05:00,2025-07-25T11:30:00,97.09,96.51,67.96,160.2,SL_HIT,-37.97,59.19,-97.16,65,1,24911.9,-0.4591,0.1153,11.53,2025-07-29,0.8,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,PUT,PE,24850,2025-07-31,2025-07-25T10:50:00,2025-07-25T11:30:00,94.15,65.38,65.91,155.36,SL_HIT,-1870.29,56.54,-1926.83,65,1,24862.3,-0.4586,0.1153,11.53,2025-07-29,0.8,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,PUT,PE,24900,2025-07-31,2025-07-25T10:05:00,2025-07-25T10:40:00,78.36,90.7,54.85,129.3,SL_HIT,801.62,57.92,743.7,65,1,24911.9,-0.4585,0.1121,11.21,2025-07-30,1.1,0,EMA_PULLBACK,0.85,BEAR_PULLBACK
COMPLETED,PUT,PE,24850,2025-07-31,2025-07-25T10:50:00,2025-07-25T11:30:00,74.94,51.88,52.46,123.64,SL_HIT,-1498.76,54.62,-1553.38,65,1,24862.3,-0.4576,0.1121,11.21,2025-07-30,1.1,0,EMA_PULLBACK,1.0,BEAR_PULLBACK
COMPLETED,CALL,CE,24800,2025-08-07,2025-07-31T12:10:00,2025-07-31T13:25:00,119.68,152.32,89.76,197.47,SL_HIT,2122.16,64.7,2057.46,65,1,24819.35,0.5516,0.1171,11.71,2025-08-05,0.8,0,VWAP_RECLAIM,0.6,SKIP_RANGING
COMPLETED,CALL,CE,24450,2025-08-14,2025-08-11T11:20:00,2025-08-11T11:35:00,76.09,56.21,57.07,125.55,SL_HIT,-1292.12,55.02,-1347.14,65,1,24470.15,0.5635,0.1236,12.36,2025-08-14,1.5,0,VWAP_RECLAIM,0.85,SKIP_RANGING
COMPLETED,CALL,CE,24850,2025-09-11,2025-09-04T10:15:00,2025-09-04T11:20:00,112.78,78.31,78.94,186.08,SL_HIT,-2240.21,58.38,-2298.59,65,1,24857.8,0.5373,0.1069,10.69,2025-09-09,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24850,2025-09-11,2025-09-08T10:00:00,2025-09-08T10:30:00,97.45,67.67,68.22,160.8,SL_HIT,-1935.8,56.86,-1992.66,65,1,24826.1,0.4876,0.1069,10.69,2025-09-09,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24800,2025-09-11,2025-09-08T09:30:00,2025-09-08T10:15:00,80.45,55.47,56.32,132.75,SL_HIT,-1623.77,55.15,-1678.91,65,1,24823.6,0.5756,0.1036,10.36,2025-09-11,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24850,2025-09-11,2025-09-08T10:00:00,2025-09-08T10:15:00,52.76,36.19,36.93,87.05,SL_HIT,-1076.83,52.4,-1129.23,65,1,24826.1,0.4534,0.1036,10.36,2025-09-11,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25300,2025-09-18,2025-09-17T09:55:00,2025-09-17T14:00:00,99.77,69.07,69.84,164.63,SL_HIT,-1995.52,57.08,-2052.6,65,1,25320.05,0.5602,0.1025,10.25,2025-09-17,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,25350,2025-09-25,2025-09-17T10:20:00,2025-09-17T14:25:00,114.15,79.51,79.91,188.35,SL_HIT,-2251.95,58.54,-2310.49,65,1,25326.6,0.4967,0.1056,10.56,2025-09-22,0.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:35:00,2025-10-06T13:30:00,110.89,182.05,77.62,182.96,TARGET_HIT,4625.46,66.74,4558.72,65,1,24926.85,0.4975,0.1019,10.19,2025-10-06,0.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:35:00,2025-10-06T11:15:00,93.73,113.35,65.61,154.65,SL_HIT,1275.27,60.42,1214.85,65,1,24926.85,0.4889,0.1005,10.05,2025-10-07,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:55:00,2025-10-06T13:35:00,106.19,173.81,74.33,175.21,TARGET_HIT,4395.41,65.87,4329.54,65,1,24953.6,0.5326,0.1005,10.05,2025-10-07,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:35:00,2025-10-06T10:50:00,77.92,87.28,54.55,128.57,SL_HIT,608.42,57.63,550.79,65,1,24926.85,0.4778,0.1031,10.31,2025-10-08,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
